%% LaTeX2e file `sometable.dat'
%% generated by the `filecontents' environment
%% from source `Projeto' on 2017/11/04.
%%
 temperature value
 Temperature(\si{\kelvin}) Value(\si{m^3})
 15.00 1.000342E+00
 16.00 1.000038E+00
 18.00 9.991696E-01
 20.00 9.976573E-02
 22.00 9.954760E-02
 24.00 9.926016E-02
 25.00 9.908970E-02
 26.00 9.890101E-02
 27.00 9.869378E-03
 28.00 9.846772E-03
 29.00 9.822252E-03
 30.00 9.793544E-03
 31.00 9.757798E-04
 32.00 9.714558E-04
 33.00 9.663367E-04
 34.00 9.603773E-04
 35.00 9.535319E-04
 36.00 9.457552E-04
 37.00 9.370016E-04
 38.00 9.272257E-05
 39.00 9.164286E-05
 40.00 9.053571E-05
 42.00 8.832143E-05
 44.00 8.610714E-05
 45.00 8.500000E-05
 46.00 8.389286E-05
 48.00 8.167857E-05
 50.00 7.946429E-05
 55.00 7.392857E-05
 60.00 6.839286E-05
 65.00 6.285714E-02
 70.00 5.730197E-02
 75.00 5.095251E-02
 80.00 4.558582E-02
 85.00 4.192582E-02
 90.00 3.825244E-02
 95.00 3.396510E-02
 98.15 3.151784E-02
 100.00 3.035714E-02
 103.15 2.861339E-02
 113.15 2.307768E-02
 123.15 1.767093E-02
 125.00 1.680902E-02
 138.15 1.222368E-02
 150.00 8.928571E-03
 153.15 8.056696E-04
 173.15 4.209043E-03
 175.00 3.996861E-04
 198.15 1.887255E-04
 200.00 1.785714E-04
 223.15 6.901849E-04
 225.00 5.786391E-04
